time,P,G(i),H_sun,T2m,WS10m,Int
20230224:1811,0.0,0.0,0.0,8.74,2.62,0.0
20230224:1911,0.0,0.0,0.0,8.24,2.9,0.0
20230224:2011,0.0,0.0,0.0,7.9,2.97,0.0
20230224:2111,0.0,0.0,0.0,7.74,2.97,0.0
20230224:2211,0.0,0.0,0.0,7.41,2.9,0.0
20230224:2311,0.0,0.0,0.0,7.1,2.69,0.0
20230225:0011,0.0,0.0,0.0,6.59,2.34,0.0
20230225:0111,0.0,0.0,0.0,5.93,2.21,0.0
20230225:0211,0.0,0.0,0.0,5.24,2.07,0.0
20230225:0311,0.0,0.0,0.0,4.68,1.93,0.0
20230225:0411,0.0,0.0,0.0,4.2,1.93,0.0
20230225:0511,0.0,0.0,0.0,3.74,2.0,0.0
20230225:0611,0.0,0.0,0.0,3.4,2.0,0.0
20230225:0711,0.0,0.0,0.0,3.18,1.93,0.0
20230225:0811,15.58,31.09,4.97,3.51,1.79,0.0
20230225:0911,76.12,102.81,12.97,4.52,1.66,0.0
20230225:1011,536.52,624.65,19.76,5.81,2.9,0.0
20230225:1111,176.07,215.16,24.86,6.64,2.83,0.0
20230225:1211,305.95,359.89,27.73,7.08,3.24,0.0
20230225:1311,543.71,636.57,28.03,7.18,3.24,0.0
20230225:1411,627.0,738.58,25.73,7.25,3.17,0.0
20230225:1511,426.96,497.77,21.1,7.3,3.31,0.0
20230225:1611,216.52,260.95,14.65,7.12,3.31,0.0
20230225:1711,133.88,180.03,6.89,6.77,3.1,0.0
20230225:1811,0.0,0.0,0.0,6.25,2.69,0.0
20230225:1911,0.0,0.0,0.0,5.68,2.9,0.0
20230225:2011,0.0,0.0,0.0,5.28,2.97,0.0
20230225:2111,0.0,0.0,0.0,4.85,2.62,0.0
20230225:2211,0.0,0.0,0.0,4.48,2.55,0.0
20230225:2311,0.0,0.0,0.0,3.97,2.41,0.0
20230226:0011,0.0,0.0,0.0,3.59,2.21,0.0
20230226:0111,0.0,0.0,0.0,3.19,2.0,0.0
20230226:0211,0.0,0.0,0.0,2.74,1.93,0.0
20230226:0311,0.0,0.0,0.0,2.37,2.0,0.0
20230226:0411,0.0,0.0,0.0,2.2,2.07,0.0
20230226:0511,0.0,0.0,0.0,2.13,2.14,0.0
20230226:0611,0.0,0.0,0.0,1.99,2.21,0.0
20230226:0711,0.0,0.0,0.0,1.93,2.28,0.0
20230226:0811,12.79,26.82,5.3,2.04,2.34,0.0
20230226:0911,208.77,248.62,13.31,3.03,2.21,0.0
20230226:1011,508.28,587.86,20.12,4.49,2.76,0.0
20230226:1111,489.11,563.4,25.22,5.73,4.21,0.0
20230226:1211,298.09,349.44,28.11,6.75,4.21,0.0
20230226:1311,185.8,226.41,28.4,7.24,3.79,0.0
20230226:1411,388.3,453.33,26.08,7.49,3.52,0.0
20230226:1511,307.71,362.05,21.44,7.64,3.31,0.0
20230226:1611,162.19,200.74,14.96,7.59,3.1,0.0
20230226:1711,90.21,126.07,7.18,7.17,2.48,0.0
20230226:1811,0.0,0.0,0.0,6.38,2.21,0.0
20230226:1911,0.0,0.0,0.0,5.91,2.28,0.0
20230226:2011,0.0,0.0,0.0,5.43,2.21,0.0
20230226:2111,0.0,0.0,0.0,5.13,2.14,0.0
20230226:2211,0.0,0.0,0.0,4.86,2.07,0.0
20230226:2311,0.0,0.0,0.0,4.56,2.14,0.0
20230227:0011,0.0,0.0,0.0,4.4,2.28,0.0
20230227:0111,0.0,0.0,0.0,4.18,2.28,0.0
20230227:0211,0.0,0.0,0.0,3.87,2.21,0.0
20230227:0311,0.0,0.0,0.0,3.72,2.21,0.0
20230227:0411,0.0,0.0,0.0,3.5,2.21,0.0
20230227:0511,0.0,0.0,0.0,3.12,2.14,0.0
20230227:0611,0.0,0.0,0.0,2.69,2.07,0.0
20230227:0711,0.0,0.0,0.0,3.0,2.0,0.0
20230227:0811,117.78,159.02,5.63,2.8,2.0,0.0
20230227:0911,360.23,421.21,13.65,3.68,1.93,0.0
20230227:1011,517.83,601.95,20.48,5.31,2.69,0.0
20230227:1111,180.94,219.76,25.6,6.41,4.21,0.0
20230227:1211,139.07,174.46,28.48,6.99,4.14,0.0
20230227:1311,138.6,174.37,28.78,7.41,3.72,0.0
20230227:1411,128.71,163.39,26.44,7.47,3.38,0.0
20230227:1511,85.26,114.44,21.77,7.43,2.97,0.0
20230227:1611,102.78,134.21,15.27,7.44,2.62,0.0
20230227:1711,37.68,60.15,7.47,7.21,1.93,0.0
20230227:1811,0.0,0.0,0.0,6.54,1.45,0.0
20230227:1911,0.0,0.0,0.0,5.71,1.38,0.0
20230227:2011,0.0,0.0,0.0,5.23,1.38,0.0
20230227:2111,0.0,0.0,0.0,4.76,1.38,0.0
20230227:2211,0.0,0.0,0.0,4.41,1.17,0.0
20230227:2311,0.0,0.0,0.0,3.82,1.03,0.0
20230228:0011,0.0,0.0,0.0,3.54,1.03,0.0
20230228:0111,0.0,0.0,0.0,3.23,1.1,0.0
20230228:0211,0.0,0.0,0.0,3.29,1.1,0.0
20230228:0311,0.0,0.0,0.0,2.83,1.31,0.0
20230228:0411,0.0,0.0,0.0,2.88,1.24,0.0
20230228:0511,0.0,0.0,0.0,2.89,1.31,0.0
20230228:0611,0.0,0.0,0.0,2.97,1.45,0.0
20230228:0711,0.0,0.0,0.0,3.16,1.45,0.0
20230228:0811,47.94,72.77,5.97,3.29,1.45,0.0
20230228:0911,124.38,156.52,14.0,3.93,1.38,0.0
20230228:1011,178.26,216.23,20.84,4.97,1.86,0.0
20230228:1111,247.21,294.16,25.97,6.34,2.28,0.0
20230228:1211,276.81,328.6,28.86,7.36,2.69,0.0
20230228:1311,71.17,98.41,29.15,7.54,2.69,0.0
20230228:1411,61.66,87.37,26.79,7.52,2.62,0.0
20230228:1511,58.55,83.7,22.1,7.35,2.55,0.0
20230228:1611,93.36,123.43,15.58,7.22,2.76,0.0
20230228:1711,26.36,45.21,7.76,6.79,2.34,0.0
20230228:1811,0.0,0.0,0.0,6.27,2.21,0.0
20230228:1911,0.0,0.0,0.0,5.5,2.28,0.0
20230228:2011,0.0,0.0,0.0,5.2,2.34,0.0
20230228:2111,0.0,0.0,0.0,4.96,2.55,0.0
20230228:2211,0.0,0.0,0.0,4.77,2.69,0.0
20230228:2311,0.0,0.0,0.0,4.54,2.62,0.0
20230301:0011,0.0,0.0,0.0,4.3,2.28,0.0
20230301:0111,0.0,0.0,0.0,3.95,2.21,0.0
20230301:0211,0.0,0.0,0.0,3.54,2.21,0.0
20230301:0311,0.0,0.0,0.0,2.95,2.07,0.0
20230301:0411,0.0,0.0,0.0,2.56,2.0,0.0
20230301:0511,0.0,0.0,0.0,2.44,2.0,0.0
20230301:0611,0.0,0.0,0.0,2.41,2.0,0.0
20230301:0711,0.0,0.0,0.0,3.36,2.21,0.0
20230301:0811,16.56,31.98,6.3,3.57,2.21,0.0
20230301:0911,48.15,70.59,14.34,4.26,2.0,0.0
20230301:1011,135.84,169.42,21.2,5.34,3.24,0.0
20230301:1111,78.11,105.77,26.35,6.27,3.38,0.0
20230301:1211,61.11,86.46,29.24,6.87,3.38,0.0
20230301:1311,383.94,448.99,29.53,7.17,3.24,0.0
20230301:1411,239.27,286.09,27.15,7.22,2.83,0.0
20230301:1511,86.76,116.22,22.44,7.52,2.83,0.0
20230301:1611,62.48,88.31,15.89,7.49,2.28,0.0
20230301:1711,34.03,55.2,8.05,7.29,2.21,0.0
20230301:1811,0.0,0.0,0.0,6.83,2.07,0.0
20230301:1911,0.0,0.0,0.0,5.86,2.0,0.0
20230301:2011,0.0,0.0,0.0,5.5,2.07,0.0
20230301:2111,0.0,0.0,0.0,5.15,2.07,0.0
20230301:2211,0.0,0.0,0.0,5.12,2.14,0.0
20230301:2311,0.0,0.0,0.0,5.04,2.21,0.0
20230302:0011,0.0,0.0,0.0,4.97,2.28,0.0
20230302:0111,0.0,0.0,0.0,4.97,2.34,0.0
20230302:0211,0.0,0.0,0.0,4.81,2.34,0.0
20230302:0311,0.0,0.0,0.0,4.67,2.34,0.0
20230302:0411,0.0,0.0,0.0,4.52,2.28,0.0
20230302:0511,0.0,0.0,0.0,4.44,2.28,0.0
20230302:0611,0.0,0.0,0.0,4.45,2.21,0.0
20230302:0711,0.0,0.0,0.0,4.47,2.0,0.0
20230302:0811,46.34,70.62,6.64,4.56,2.0,0.0
20230302:0911,84.65,112.6,14.7,4.91,1.86,0.0
20230302:1011,138.79,173.22,21.57,5.83,2.62,0.0
20230302:1111,285.31,337.4,26.73,6.74,2.34,0.0
20230302:1211,188.93,230.89,29.63,7.24,2.28,0.0
20230302:1311,101.52,133.36,29.9,7.8,2.28,0.0
20230302:1411,52.07,76.34,27.51,8.13,2.28,0.0
20230302:1511,36.76,57.94,22.77,7.97,1.86,0.0
20230302:1611,81.45,110.41,16.2,7.93,1.72,0.0
20230302:1711,34.39,55.74,8.34,7.77,1.45,0.0
20230302:1811,0.0,0.0,0.0,7.19,1.17,0.0
20230302:1911,0.0,0.0,0.0,6.39,1.45,0.0
20230302:2011,0.0,0.0,0.0,5.97,1.45,0.0
20230302:2111,0.0,0.0,0.0,5.57,1.52,0.0
20230302:2211,0.0,0.0,0.0,5.02,1.52,0.0
20230302:2311,0.0,0.0,0.0,4.37,1.45,0.0
20230303:0011,0.0,0.0,0.0,3.73,1.45,0.0
20230303:0111,0.0,0.0,0.0,2.97,1.52,0.0
20230303:0211,0.0,0.0,0.0,2.62,1.45,0.0
20230303:0311,0.0,0.0,0.0,2.09,1.45,0.0
20230303:0411,0.0,0.0,0.0,1.42,1.45,0.0
20230303:0511,0.0,0.0,0.0,1.15,1.38,0.0
20230303:0611,0.0,0.0,0.0,0.28,1.38,0.0
20230303:0711,0.0,0.0,0.0,0.77,1.24,0.0
20230303:0811,31.28,50.73,6.98,1.03,1.1,0.0
20230303:0911,58.43,82.18,15.05,2.75,0.69,0.0
20230303:1011,123.45,156.45,21.94,5.06,0.97,0.0
20230303:1111,108.25,140.11,27.11,5.86,1.24,0.0
20230303:1211,49.25,72.66,30.01,6.88,2.0,0.0
20230303:1311,110.57,143.48,30.28,7.3,1.86,0.0
20230303:1411,109.12,141.89,27.87,7.41,1.66,0.0
20230303:1511,74.27,102.09,23.1,7.39,1.45,0.0
20230303:1611,79.41,107.89,16.51,7.34,1.38,0.0
20230303:1711,33.79,54.67,8.63,7.12,1.17,0.0
20230303:1811,0.0,0.0,0.0,6.66,1.03,0.0
20230303:1911,0.0,0.0,0.0,5.89,1.31,0.0
20230303:2011,0.0,0.0,0.0,5.52,1.38,0.0
20230303:2111,0.0,0.0,0.0,5.12,1.38,0.0
20230303:2211,0.0,0.0,0.0,4.74,1.45,0.0
20230303:2311,0.0,0.0,0.0,4.5,1.45,0.0
20230304:0011,0.0,0.0,0.0,4.41,1.38,0.0
20230304:0111,0.0,0.0,0.0,4.07,1.31,0.0
20230304:0211,0.0,0.0,0.0,3.88,1.17,0.0
20230304:0311,0.0,0.0,0.0,3.7,1.1,0.0
20230304:0411,0.0,0.0,0.0,3.47,1.1,0.0
20230304:0511,0.0,0.0,0.0,3.12,1.17,0.0
20230304:0611,0.0,0.0,0.0,2.84,1.17,0.0
20230304:0711,0.0,0.0,0.0,2.45,1.03,0.0
20230304:0811,17.72,33.37,7.33,2.64,1.03,0.0
20230304:0911,26.93,45.07,15.41,3.9,1.1,0.0
20230304:1011,41.24,62.54,22.31,4.51,1.59,0.0
20230304:1111,48.91,71.74,27.49,5.01,1.79,0.0
20230304:1211,23.83,41.39,30.4,5.34,1.66,0.0
20230304:1311,64.53,90.13,30.66,5.5,1.31,0.0
20230304:1411,57.28,81.86,28.23,5.78,0.9,0.0
20230304:1511,54.1,78.18,23.44,5.82,0.62,0.0
20230304:1611,61.53,86.8,16.82,5.73,0.69,0.0
20230304:1711,35.4,56.28,8.92,5.49,1.03,0.0
20230304:1811,0.0,0.0,0.0,5.16,1.17,0.0
20230304:1911,0.0,0.0,0.0,4.38,1.03,0.0
20230304:2011,0.0,0.0,0.0,4.07,1.1,0.0
20230304:2111,0.0,0.0,0.0,3.84,1.03,0.0
20230304:2211,0.0,0.0,0.0,3.32,0.76,0.0
20230304:2311,0.0,0.0,0.0,3.6,0.34,0.0
20230305:0011,0.0,0.0,0.0,3.67,0.28,0.0
20230305:0111,0.0,0.0,0.0,2.91,0.76,0.0
20230305:0211,0.0,0.0,0.0,2.35,1.03,0.0
20230305:0311,0.0,0.0,0.0,1.92,0.97,0.0
20230305:0411,0.0,0.0,0.0,1.89,0.97,0.0
20230305:0511,0.0,0.0,0.0,1.88,0.97,0.0
20230305:0611,0.0,0.0,0.0,1.85,0.97,0.0
20230305:0711,0.0,0.0,0.0,1.44,1.03,0.0
20230305:0811,148.34,191.6,7.68,1.4,1.03,0.0
20230305:0911,166.18,201.76,15.77,2.56,1.17,0.0
20230305:1011,167.82,203.99,22.68,3.7,1.72,0.0
20230305:1111,224.38,267.98,27.88,5.24,2.14,0.0
20230305:1211,732.77,880.59,30.79,6.28,2.28,0.0
20230305:1311,181.08,221.95,31.04,6.91,2.34,0.0
20230305:1411,433.56,509.56,28.59,7.27,2.34,0.0
20230305:1511,151.04,188.34,23.77,7.48,2.48,0.0
20230305:1611,126.76,161.33,17.13,7.6,2.55,0.0
20230305:1711,50.82,75.92,9.21,7.33,2.34,0.0
20230305:1811,0.0,0.0,0.0,6.69,2.14,0.0
20230305:1911,0.0,0.0,0.0,5.61,1.93,0.0
20230305:2011,0.0,0.0,0.0,5.13,1.79,0.0
20230305:2111,0.0,0.0,0.0,4.87,1.72,0.0
20230305:2211,0.0,0.0,0.0,4.68,1.79,0.0
20230305:2311,0.0,0.0,0.0,4.64,1.79,0.0
20230306:0011,0.0,0.0,0.0,4.34,1.79,0.0
20230306:0111,0.0,0.0,0.0,4.12,1.86,0.0
20230306:0211,0.0,0.0,0.0,3.99,1.93,0.0
20230306:0311,0.0,0.0,0.0,3.93,1.93,0.0
20230306:0411,0.0,0.0,0.0,4.14,1.86,0.0
20230306:0511,0.0,0.0,0.0,4.16,1.79,0.0
20230306:0611,0.0,0.0,0.0,4.12,1.79,0.0
20230306:0711,0.0,0.0,0.0,4.83,1.93,0.0
20230306:0811,14.72,29.43,8.03,4.98,1.79,0.0
20230306:0911,108.24,139.53,16.13,5.73,1.72,0.0
20230306:1011,194.07,235.0,23.06,6.75,2.76,0.0
20230306:1111,200.04,242.94,28.26,7.52,2.83,0.0
20230306:1211,87.92,117.73,31.18,7.76,2.83,0.0
20230306:1311,58.29,83.7,31.42,8.31,2.69,0.0
20230306:1411,184.16,226.89,28.95,8.88,2.62,0.0
20230306:1511,175.7,216.67,24.11,8.67,2.76,0.0
20230306:1611,104.35,136.26,17.44,8.09,3.24,0.0
20230306:1711,17.26,33.11,9.5,7.43,2.83,0.0
20230306:1811,0.0,0.0,0.0,6.59,2.07,0.0
20230306:1911,0.0,0.0,0.0,6.2,1.79,0.0
20230306:2011,0.0,0.0,0.0,5.78,1.45,0.0
20230306:2111,0.0,0.0,0.0,5.24,2.0,0.0
20230306:2211,0.0,0.0,0.0,4.43,2.55,0.0
20230306:2311,0.0,0.0,0.0,3.62,2.28,0.0
20230307:0011,0.0,0.0,0.0,2.73,2.41,0.0
20230307:0111,0.0,0.0,0.0,2.3,2.62,0.0
20230307:0211,0.0,0.0,0.0,2.02,2.62,0.0
20230307:0311,0.0,0.0,0.0,1.6,2.28,0.0
20230307:0411,0.0,0.0,0.0,1.2,2.14,0.0
20230307:0511,0.0,0.0,0.0,0.69,2.07,0.0
20230307:0611,0.0,0.0,0.0,0.12,2.0,0.0
20230307:0711,0.0,0.0,0.0,0.06,1.72,0.0
20230307:0811,40.08,60.94,8.38,0.08,1.59,0.0
20230307:0911,123.03,152.72,16.49,0.59,1.93,0.0
20230307:1011,138.05,169.75,23.44,1.57,2.21,0.0
20230307:1111,522.08,602.11,28.65,2.65,2.34,0.0
20230307:1211,756.6,898.23,31.58,3.69,2.41,0.0
20230307:1311,770.52,919.78,31.81,4.54,2.48,0.0
20230307:1411,715.25,849.66,29.32,5.06,2.41,0.0
20230307:1511,555.15,648.79,24.44,5.34,2.48,0.0
20230307:1611,312.02,366.99,17.75,5.32,2.55,0.0
20230307:1711,126.21,166.18,9.79,5.01,2.55,0.0
20230307:1811,0.0,0.0,0.0,4.24,2.0,0.0
20230307:1911,0.0,0.0,0.0,3.64,2.28,0.0
20230307:2011,0.0,0.0,0.0,3.16,2.55,0.0
20230307:2111,0.0,0.0,0.0,2.9,2.9,0.0
20230307:2211,0.0,0.0,0.0,2.66,3.03,0.0
20230307:2311,0.0,0.0,0.0,2.39,3.31,0.0
20230308:0011,0.0,0.0,0.0,2.16,3.38,0.0
20230308:0111,0.0,0.0,0.0,2.0,3.45,0.0
20230308:0211,0.0,0.0,0.0,1.85,3.66,0.0
20230308:0311,0.0,0.0,0.0,1.74,3.86,0.0
20230308:0411,0.0,0.0,0.0,1.72,3.86,0.0
20230308:0511,0.0,0.0,0.0,1.69,3.93,0.0
20230308:0611,0.0,0.0,0.0,1.68,4.0,0.0
20230308:0711,0.0,0.0,0.0,1.81,3.59,0.0
20230308:0811,68.72,95.6,8.73,1.83,3.79,0.0
20230308:0911,137.06,168.49,16.86,2.04,3.38,0.0
20230308:1011,259.18,300.21,23.82,2.69,4.69,0.0
20230308:1111,372.37,424.8,29.04,3.4,5.24,0.0
20230308:1211,496.36,565.86,31.97,3.61,4.83,0.0
20230308:1311,553.7,633.42,32.19,3.93,4.69,0.0
20230308:1411,243.1,285.51,29.68,4.14,4.48,0.0
20230308:1511,359.17,413.01,24.78,4.5,4.48,0.0
20230308:1611,193.63,232.03,18.06,4.54,4.62,0.0
20230308:1711,84.02,114.57,10.08,4.33,4.14,0.0
20230308:1811,0.0,0.0,0.0,3.74,3.59,0.0
20230308:1911,0.0,0.0,0.0,3.38,3.17,0.0
20230308:2011,0.0,0.0,0.0,2.98,2.83,0.0
20230308:2111,0.0,0.0,0.0,2.42,2.76,0.0
20230308:2211,0.0,0.0,0.0,1.86,2.83,0.0
20230308:2311,0.0,0.0,0.0,1.77,2.69,0.0
20230309:0011,0.0,0.0,0.0,1.88,2.9,0.0
20230309:0111,0.0,0.0,0.0,1.7,3.17,0.0
20230309:0211,0.0,0.0,0.0,1.76,3.31,0.0
20230309:0311,0.0,0.0,0.0,1.66,3.52,0.0
20230309:0411,0.0,0.0,0.0,1.48,3.79,0.0
20230309:0511,0.0,0.0,0.0,1.39,4.0,0.0
20230309:0611,0.0,0.0,0.0,1.37,4.21,0.0
20230309:0711,0.0,0.0,0.0,1.04,4.48,0.0
20230309:0811,11.64,24.83,9.09,1.17,4.69,0.0
20230309:0911,8.38,20.23,17.22,1.43,4.76,0.0
20230309:1011,79.18,104.85,24.2,1.56,4.69,0.0
20230309:1111,111.53,140.72,29.44,1.9,5.03,0.0
20230309:1211,63.29,87.37,32.37,2.51,4.55,0.0
20230309:1311,196.91,234.41,32.58,2.88,4.34,0.0
20230309:1411,63.05,87.37,30.04,3.29,4.41,0.0
20230309:1511,167.58,202.39,25.11,3.27,4.34,0.0
20230309:1611,49.49,71.74,18.37,3.07,4.21,0.0
20230309:1711,82.45,111.88,10.37,2.83,4.21,0.0
20230309:1811,0.0,0.0,0.0,2.21,4.62,0.0
20230309:1911,0.0,0.0,0.0,1.35,5.52,0.0
20230309:2011,0.0,0.0,0.0,1.34,5.66,0.0
20230309:2111,0.0,0.0,0.0,1.26,5.79,0.0
20230309:2211,0.0,0.0,0.0,1.22,5.79,0.0
20230309:2311,0.0,0.0,0.0,1.12,5.66,0.0
20230310:0011,0.0,0.0,0.0,1.13,5.38,0.0
20230310:0111,0.0,0.0,0.0,1.13,4.83,0.0
20230310:0211,0.0,0.0,0.0,0.71,4.0,0.0
20230310:0311,0.0,0.0,0.0,0.17,3.24,0.0
20230310:0411,0.0,0.0,0.0,-0.42,2.69,0.0
20230310:0511,0.0,0.0,0.0,-1.04,2.28,0.0
20230310:0611,0.0,0.0,0.0,-1.5,1.93,0.0
20230310:0711,0.0,0.0,0.0,-1.52,1.66,0.0
20230310:0811,18.05,33.11,9.44,-1.33,1.03,0.0
20230310:0911,189.05,225.25,17.59,0.37,0.76,0.0
20230310:1011,339.03,393.09,24.58,1.46,0.76,0.0
20230310:1111,440.88,512.56,29.83,2.67,1.17,0.0
20230310:1211,678.6,810.36,32.76,3.67,1.38,0.0
20230310:1311,793.14,966.38,32.96,4.5,1.52,0.0
20230310:1411,404.47,471.86,30.4,5.18,2.14,0.0
20230310:1511,97.05,127.04,25.45,5.79,2.83,0.0
20230310:1611,210.93,253.52,18.67,5.75,2.76,0.0
20230310:1711,108.17,144.13,10.66,5.4,2.21,0.0
20230310:1811,0.0,0.92,1.9,4.77,2.0,0.0
20230310:1911,0.0,0.0,0.0,3.92,2.14,0.0
20230310:2011,0.0,0.0,0.0,3.3,2.41,0.0
20230310:2111,0.0,0.0,0.0,2.75,2.41,0.0
20230310:2211,0.0,0.0,0.0,2.25,2.62,0.0
20230310:2311,0.0,0.0,0.0,1.93,2.69,0.0
20230311:0011,0.0,0.0,0.0,1.47,2.48,0.0
20230311:0111,0.0,0.0,0.0,1.13,2.62,0.0
20230311:0211,0.0,0.0,0.0,0.99,2.62,0.0
20230311:0311,0.0,0.0,0.0,1.16,2.55,0.0
20230311:0411,0.0,0.0,0.0,1.28,2.69,0.0
20230311:0511,0.0,0.0,0.0,1.56,2.97,0.0
20230311:0611,0.0,0.0,0.0,2.06,3.1,0.0
20230311:0711,0.0,0.0,0.0,2.72,3.79,0.0
20230311:0811,33.81,53.61,9.8,3.63,4.0,0.0
20230311:0911,58.66,82.78,17.96,4.49,4.07,0.0
20230311:1011,35.76,56.1,24.96,5.46,3.86,0.0
20230311:1111,36.31,57.02,30.23,6.53,3.24,0.0
20230311:1211,30.86,50.59,33.16,7.67,2.62,0.0
20230311:1311,128.41,164.73,33.35,9.26,2.62,0.0
20230311:1411,276.76,332.46,30.77,10.44,3.45,0.0
20230311:1511,95.69,127.94,25.78,10.94,4.55,0.0
20230311:1611,92.72,124.24,18.98,10.85,5.79,0.0
20230311:1711,63.0,91.31,10.95,10.65,5.31,0.0
20230311:1811,0.0,0.92,2.18,10.28,5.24,0.0
20230311:1911,0.0,0.0,0.0,9.77,4.55,0.0
20230311:2011,0.0,0.0,0.0,9.45,4.55,0.0
20230311:2111,0.0,0.0,0.0,9.4,4.62,0.0
20230311:2211,0.0,0.0,0.0,9.27,4.41,0.0
20230311:2311,0.0,0.0,0.0,9.05,4.14,0.0
20230312:0011,0.0,0.0,0.0,8.79,3.79,0.0
20230312:0111,0.0,0.0,0.0,8.3,3.59,0.0
20230312:0211,0.0,0.0,0.0,7.81,3.24,0.0
20230312:0311,0.0,0.0,0.0,7.5,3.1,0.0
20230312:0411,0.0,0.0,0.0,6.87,2.9,0.0
20230312:0511,0.0,0.0,0.0,6.66,2.48,0.0
20230312:0611,0.0,0.0,0.0,6.19,2.55,0.0
20230312:0711,0.0,0.0,0.0,6.61,2.69,0.0
20230312:0811,158.65,205.43,10.16,7.81,2.83,0.0
20230312:0911,113.44,146.96,18.34,9.03,3.45,0.0
20230312:1011,190.26,233.47,25.35,10.06,4.41,0.0
20230312:1111,185.85,229.23,30.62,10.52,5.17,0.0
20230312:1211,227.39,276.72,33.56,10.5,3.93,0.0
20230312:1311,47.65,71.74,33.74,10.57,2.97,0.0
20230312:1411,145.02,184.39,31.13,11.14,4.21,0.0
20230312:1511,63.79,91.05,26.12,11.18,4.41,0.0
20230312:1611,20.41,37.71,19.29,10.59,3.03,0.0
20230312:1711,2.94,11.96,11.23,10.1,3.38,0.0
20230312:1811,0.0,0.92,2.46,10.1,3.59,0.0
20230312:1911,0.0,0.0,0.0,10.98,4.07,0.0
20230312:2011,0.0,0.0,0.0,11.52,4.62,0.0
20230312:2111,0.0,0.0,0.0,11.81,5.1,0.0
20230312:2211,0.0,0.0,0.0,11.77,5.1,0.0
20230312:2311,0.0,0.0,0.0,11.55,5.03,0.0
20230313:0011,0.0,0.0,0.0,11.31,4.97,0.0
20230313:0111,0.0,0.0,0.0,11.45,5.45,0.0
20230313:0211,0.0,0.0,0.0,11.04,5.38,0.0
20230313:0311,0.0,0.0,0.0,10.23,5.03,0.0
20230313:0411,0.0,0.0,0.0,9.87,4.62,0.0
20230313:0511,0.0,0.0,0.0,9.59,4.0,0.0
20230313:0611,0.0,0.0,0.0,9.26,3.66,0.0
20230313:0711,0.0,0.86,1.68,9.67,3.59,0.0
20230313:0811,91.3,125.2,10.53,9.82,3.52,0.0
20230313:0911,117.65,152.4,18.71,10.11,3.45,0.0
20230313:1011,158.04,198.14,25.74,10.24,3.52,0.0
20230313:1111,40.93,63.46,31.02,10.15,3.72,0.0
20230313:1211,107.7,141.64,33.96,10.38,3.52,0.0
20230313:1311,26.1,45.07,34.12,10.36,3.31,0.0
20230313:1411,78.38,107.61,31.49,9.91,3.86,0.0
20230313:1511,111.23,144.55,26.45,8.88,4.07,0.0
20230313:1611,81.61,110.62,19.59,8.54,4.07,0.0
20230313:1711,165.09,213.84,11.52,8.04,4.97,0.0
20230313:1811,0.71,7.36,2.73,6.99,5.1,0.0
20230313:1911,0.0,0.0,0.0,5.94,4.62,0.0
20230313:2011,0.0,0.0,0.0,5.12,4.9,0.0
20230313:2111,0.0,0.0,0.0,4.61,4.62,0.0
20230313:2211,0.0,0.0,0.0,4.26,4.41,0.0
20230313:2311,0.0,0.0,0.0,4.05,4.28,0.0
20230314:0011,0.0,0.0,0.0,4.4,4.14,0.0
20230314:0111,0.0,0.0,0.0,4.7,4.21,0.0
20230314:0211,0.0,0.0,0.0,4.39,4.34,0.0
20230314:0311,0.0,0.0,0.0,3.72,4.21,0.0
20230314:0411,0.0,0.0,0.0,3.17,3.79,0.0
20230314:0511,0.0,0.0,0.0,2.85,3.1,0.0
20230314:0611,0.0,0.0,0.0,2.67,2.48,0.0
20230314:0711,0.0,1.73,2.04,2.05,2.34,0.0
20230314:0811,209.67,260.47,10.89,2.52,2.0,0.0
20230314:0911,167.46,203.58,19.08,4.12,2.83,0.0
20230314:1011,639.57,745.96,26.12,5.42,3.45,0.0
20230314:1111,515.5,600.28,31.42,6.34,3.45,0.0
20230314:1211,632.8,743.1,34.36,7.05,3.86,0.0
20230314:1311,771.27,912.95,34.51,7.2,4.41,0.0
20230314:1411,668.37,784.57,31.85,7.14,4.14,0.0
20230314:1511,183.75,224.08,26.78,7.31,4.0,0.0
20230314:1611,348.68,409.12,19.9,6.83,3.86,0.0
20230314:1711,194.03,247.91,11.8,6.46,3.52,0.0
20230314:1811,1.58,9.2,3.0,5.81,2.69,0.0
20230314:1911,0.0,0.0,0.0,4.98,1.79,0.0
20230314:2011,0.0,0.0,0.0,4.19,1.52,0.0
20230314:2111,0.0,0.0,0.0,3.37,1.45,0.0
20230314:2211,0.0,0.0,0.0,2.29,1.52,0.0
20230314:2311,0.0,0.0,0.0,1.43,1.52,0.0
20230315:0011,0.0,0.0,0.0,1.02,1.59,0.0
20230315:0111,0.0,0.0,0.0,0.76,1.59,0.0
20230315:0211,0.0,0.0,0.0,1.34,1.59,0.0
20230315:0311,0.0,0.0,0.0,2.23,1.72,0.0
20230315:0411,0.0,0.0,0.0,3.03,2.07,0.0
20230315:0511,0.0,0.0,0.0,3.43,2.55,0.0
20230315:0611,0.0,0.0,0.0,3.7,2.97,0.0
20230315:0711,0.0,1.73,2.4,4.65,3.59,0.0
20230315:0811,8.19,20.23,11.25,5.4,4.0,0.0
20230315:0911,45.64,68.06,19.46,6.13,4.28,0.0
20230315:1011,69.97,96.57,26.51,6.79,4.48,0.0
20230315:1111,104.4,136.12,31.82,7.52,4.14,0.0
