time,P,G(i),H_sun,T2m,WS10m,Int
20230105:0611,0.0,0.0,0.0,10.75,3.72,0.0
20230105:0711,0.0,0.0,0.0,10.89,4.07,0.0
20230105:0811,0.0,0.0,0.0,11.09,4.62,0.0
20230105:0911,0.0,3.45,2.17,11.26,5.1,0.0
20230105:1011,55.02,80.02,8.08,11.34,5.52,0.0
20230105:1111,27.41,46.91,12.28,11.55,5.72,0.0
20230105:1211,19.61,36.79,14.45,11.79,5.79,0.0
20230105:1311,18.24,34.95,14.39,11.8,6.21,0.0
20230105:1411,21.76,39.55,12.11,11.26,6.07,0.0
20230105:1511,7.98,20.23,7.8,9.9,5.03,0.0
20230105:1611,0.0,1.84,1.82,8.93,4.41,0.0
20230105:1711,0.0,0.0,0.0,8.32,4.14,0.0
20230105:1811,0.0,0.0,0.0,7.99,4.07,0.0
20230105:1911,0.0,0.0,0.0,7.61,4.0,0.0
20230105:2011,0.0,0.0,0.0,7.36,4.0,0.0
20230105:2111,0.0,0.0,0.0,7.07,4.0,0.0
20230105:2211,0.0,0.0,0.0,7.0,4.14,0.0
20230105:2311,0.0,0.0,0.0,7.07,4.21,0.0
20230106:0011,0.0,0.0,0.0,6.91,3.93,0.0
20230106:0111,0.0,0.0,0.0,6.6,3.72,0.0
20230106:0211,0.0,0.0,0.0,6.45,3.45,0.0
20230106:0311,0.0,0.0,0.0,6.14,2.9,0.0
20230106:0411,0.0,0.0,0.0,5.63,2.83,0.0
20230106:0511,0.0,0.0,0.0,5.53,2.41,0.0
20230106:0611,0.0,0.0,0.0,5.58,2.48,0.0
20230106:0711,0.0,0.0,0.0,5.8,2.48,0.0
20230106:0811,0.0,0.0,0.0,6.17,2.76,0.0
20230106:0911,0.0,0.86,2.23,6.58,3.17,0.0
20230106:1011,51.15,74.38,8.15,7.2,3.38,0.0
20230106:1111,86.94,115.58,12.37,8.06,3.66,0.0
20230106:1211,183.39,222.82,14.56,8.81,3.79,0.0
20230106:1311,31.35,51.51,14.51,9.43,4.28,0.0
20230106:1411,33.51,54.26,12.24,9.85,4.34,0.0
20230106:1511,12.38,26.67,7.95,9.85,4.76,0.0
20230106:1611,0.0,1.84,1.97,9.9,4.62,0.0
20230106:1711,0.0,0.0,0.0,10.03,4.69,0.0
20230106:1811,0.0,0.0,0.0,10.0,4.83,0.0
20230106:1911,0.0,0.0,0.0,9.84,4.83,0.0
20230106:2011,0.0,0.0,0.0,9.88,4.41,0.0
20230106:2111,0.0,0.0,0.0,9.87,3.93,0.0
20230106:2211,0.0,0.0,0.0,9.37,2.76,0.0
20230106:2311,0.0,0.0,0.0,8.47,1.93,0.0
20230107:0011,0.0,0.0,0.0,7.82,2.14,0.0
20230107:0111,0.0,0.0,0.0,7.16,2.48,0.0
20230107:0211,0.0,0.0,0.0,6.44,2.28,0.0
20230107:0311,0.0,0.0,0.0,5.72,2.34,0.0
20230107:0411,0.0,0.0,0.0,5.25,2.62,0.0
20230107:0511,0.0,0.0,0.0,5.01,3.1,0.0
20230107:0611,0.0,0.0,0.0,4.98,3.79,0.0
20230107:0711,0.0,0.0,0.0,5.7,4.28,0.0
20230107:0811,0.0,0.0,0.0,5.84,4.62,0.0
20230107:0911,0.0,3.45,2.29,5.77,4.69,0.0
20230107:1011,311.53,361.13,8.23,6.15,4.76,0.0
20230107:1111,418.94,480.88,12.47,6.7,5.03,0.0
20230107:1211,400.45,460.28,14.67,7.33,5.59,0.0
20230107:1311,17.93,34.03,14.65,7.83,5.86,0.0
20230107:1411,460.68,528.24,12.39,7.79,6.76,0.0
20230107:1511,18.61,34.95,8.1,7.95,6.62,0.0
20230107:1611,0.0,1.84,2.12,7.87,6.21,0.0
20230107:1711,0.0,0.0,0.0,7.87,6.14,0.0
20230107:1811,0.0,0.0,0.0,8.18,6.0,0.0
20230107:1911,0.0,0.0,0.0,7.82,5.72,0.0
20230107:2011,0.0,0.0,0.0,7.59,6.07,0.0
20230107:2111,0.0,0.0,0.0,7.09,5.45,0.0
20230107:2211,0.0,0.0,0.0,6.91,4.69,0.0
20230107:2311,0.0,0.0,0.0,6.6,4.34,0.0
20230108:0011,0.0,0.0,0.0,6.4,4.14,0.0
20230108:0111,0.0,0.0,0.0,6.1,4.14,0.0
20230108:0211,0.0,0.0,0.0,5.86,4.0,0.0
20230108:0311,0.0,0.0,0.0,5.46,4.0,0.0
20230108:0411,0.0,0.0,0.0,5.19,4.28,0.0
20230108:0511,0.0,0.0,0.0,4.74,4.07,0.0
20230108:0611,0.0,0.0,0.0,4.37,4.14,0.0
20230108:0711,0.0,0.0,0.0,4.25,3.38,0.0
20230108:0811,0.0,0.0,0.0,4.22,3.66,0.0
20230108:0911,2.2,10.35,2.36,3.92,3.79,0.0
20230108:1011,63.32,87.28,8.32,4.17,4.0,0.0
20230108:1111,190.1,226.15,12.57,4.96,4.14,0.0
20230108:1211,414.32,477.86,14.8,5.8,3.17,0.0
20230108:1311,292.21,340.52,14.78,6.58,3.66,0.0
20230108:1411,130.78,163.57,12.54,6.98,3.52,0.0
20230108:1511,272.54,321.21,8.26,7.01,3.45,0.0
20230108:1611,0.0,2.76,2.28,6.71,3.31,0.0
20230108:1711,0.0,0.0,0.0,6.21,4.07,0.0
20230108:1811,0.0,0.0,0.0,6.18,4.76,0.0
20230108:1911,0.0,0.0,0.0,5.76,4.69,0.0
20230108:2011,0.0,0.0,0.0,6.16,4.69,0.0
20230108:2111,0.0,0.0,0.0,5.75,4.9,0.0
20230108:2211,0.0,0.0,0.0,5.47,5.24,0.0
20230108:2311,0.0,0.0,0.0,5.53,5.66,0.0
20230109:0011,0.0,0.0,0.0,5.65,6.0,0.0
20230109:0111,0.0,0.0,0.0,5.79,5.72,0.0
20230109:0211,0.0,0.0,0.0,6.03,5.72,0.0
20230109:0311,0.0,0.0,0.0,5.91,5.59,0.0
20230109:0411,0.0,0.0,0.0,5.94,5.52,0.0
20230109:0511,0.0,0.0,0.0,5.36,5.45,0.0
20230109:0611,0.0,0.0,0.0,5.13,5.72,0.0
20230109:0711,0.0,0.0,0.0,4.75,5.66,0.0
20230109:0811,0.0,0.0,0.0,4.35,5.79,0.0
20230109:0911,2.18,10.35,2.44,4.79,5.17,0.0
20230109:1011,1.58,9.2,8.41,5.46,5.1,0.0
20230109:1111,362.73,416.19,12.68,6.17,5.31,0.0
